"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111/112","3363A0/US",0.000105640605444197,"tons",3.30426866424072e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336411/US",0.000490511601798807,"tons",1.53424160005073e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336412/US",6.60517062602179e-05,"tons",2.06599140829953e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336413/US",0.000393438484972002,"tons",1.23061246358158e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336414/US",1.17231476226189e-06,"tons",3.66681250763466e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33641A/US",1.84741363322821e-07,"tons",5.77841347320904e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336500/US",0.000187424079069399,"tons",5.86232451801243e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336611/US",0.00175294044658754,"tons",5.48291650126807e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336612/US",2.54412778295718e-05,"tons",7.95762356311963e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336991/US",6.98611564600814e-08,"tons",2.18514489923672e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336992/US",8.11756702159021e-06,"tons",2.53904473819805e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336999/US",7.52814833662422e-07,"tons",2.35468402929622e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","337110/US",0.000710869430590832,"tons",2.22348553758404e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","337121/US",2.471393182651e-07,"tons",7.7301214018179e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","337122/US",9.16384755728012e-08,"tons",2.86630450479522e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","337127/US",1.55019374528082e-09,"tons",4.84875734524179e-12,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33712N/US",9.18039027780724e-08,"tons",2.87147880238934e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","337215/US",3.83975948215164e-05,"tons",1.20101516663466e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33721A/US",3.02606344539049e-06,"tons",9.46504100063106e-09,"kg / million $","Manufacturing"
